Bar0, 20778.21011673152
Bar1, 15999.999999999998
Bar2, 12747.081712062256
Bar3, 12747.081712062256
Bar4, 12747.081712062256
Bar5, 12747.081712062256
Bar6, 12747.081712062256
Bar7, 11206.225680933854
Bar8, 6428.0155642023365
Bar9, 6428.0155642023365
Bar10, 6428.0155642023365
Bar11, 6428.0155642023365
Bar12, 6428.0155642023365
Bar13, 6428.0155642023365
Bar14, 6428.0155642023365
Bar15, 6428.0155642023365
Bar16, 6428.0155642023365
Bar17, 6428.0155642023365
Bar18, 6428.0155642023365
Bar19, 6428.0155642023365
Bar20, 6428.0155642023365
Bar21, 6428.0155642023365
Bar22, 6428.0155642023365
Bar23, 6428.0155642023365
Bar24, 6428.0155642023365
Bar25, 6428.0155642023365
Bar26, 4996.108949416344
Bar27, 4996.108949416344
Bar28, 4996.108949416344
Bar29, 4996.108949416344
Bar30, 3175.0972762645933
Bar31, 3175.0972762645933
Bar32, 3175.0972762645933
Bar33, 3175.0972762645933
Bar34, 3175.0972762645933
Bar35, 3175.0972762645933
Bar36, 3175.0972762645933
Bar37, 3175.0972762645933
Bar38, 3175.0972762645933
Bar39, 3175.0972762645933
Bar40, 3175.0972762645933
Bar41, 1649.8054474708213
Bar42, 1649.8054474708213
Bar43, 1649.8054474708213
Bar44, 1649.8054474708213
Bar45, 1649.8054474708213
Bar46, 1634.2412451361906
Bar47, 1634.2412451361906
Bar48, 1649.8054474708213
Bar49, 1649.8054474708213
Bar50, 1649.8054474708213
Bar51, 1634.2412451361906
Bar52, 1649.8054474708213
Bar53, 1634.2412451361906
Bar54, 1634.2412451361906
Bar55, 1634.2412451361906
Bar56, 1634.2412451361906
Bar57, 1649.8054474708213
Bar58, 1634.2412451361906
Bar59, 1649.8054474708213
Bar60, 1634.2412451361906
Bar61, 1634.2412451361906
Bar62, 1649.8054474708213
Bar63, 1447.4708171206248
Bar64, 1447.4708171206248
Bar65, 1447.4708171206248
Bar66, 1354.0856031128417
Bar67, 1354.0856031128417
Bar68, 1354.0856031128417
Bar69, 1354.0856031128417
Bar70, 1167.315175097276
Bar71, 1167.315175097276
